"relative_path","full_path","Name","Extension","Length","size_mb","LastWriteTime"
"00_archives_original\Fooocus_Female_System_Windows.zip","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original\Fooocus_Female_System_Windows.zip","Fooocus_Female_System_Windows.zip",".zip","4585","0.004","25/12/47 01:39:44 م"
"00_archives_original\Fooocus-main.zip","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original\Fooocus-main.zip","Fooocus-main.zip",".zip","10817549","10.316","25/12/47 01:39:44 م"
"00_archives_original\Fooocus-main(1).zip","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original\Fooocus-main(1).zip","Fooocus-main(1).zip",".zip","10817549","10.316","25/12/47 01:39:44 م"
"00_archives_original\Fooocus-main(2).zip","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original\Fooocus-main(2).zip","Fooocus-main(2).zip",".zip","10587007","10.097","25/12/47 01:38:38 م"
"00_archives_original\Fooocus-release.zip","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original\Fooocus-release.zip","Fooocus-release.zip",".zip","4588066","4.376","25/12/47 01:38:38 م"
"00_archives_original\stable-diffusion-webui-master.zip","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original\stable-diffusion-webui-master.zip","stable-diffusion-webui-master.zip",".zip","1959559","1.869","25/12/47 01:39:44 م"
".venv_fooocus\Lib\site-packages\pooch\tests\data\store.tar.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\pooch\tests\data\store.tar.gz","store.tar.gz",".gz","243","0","26/12/47 09:37:14 ص"
".venv_fooocus\Lib\site-packages\pooch\tests\data\store.zip","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\pooch\tests\data\store.zip","store.zip",".zip","780","0.001","26/12/47 09:37:14 ص"
".venv_fooocus\Lib\site-packages\pooch\tests\data\tiny-data.tar.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\pooch\tests\data\tiny-data.tar.gz","tiny-data.tar.gz",".gz","176","0","26/12/47 09:37:14 ص"
".venv_fooocus\Lib\site-packages\pooch\tests\data\tiny-data.txt.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\pooch\tests\data\tiny-data.txt.gz","tiny-data.txt.gz",".gz","91","0","26/12/47 09:37:14 ص"
".venv_fooocus\Lib\site-packages\pooch\tests\data\tiny-data.zip","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\pooch\tests\data\tiny-data.zip","tiny-data.zip",".zip","235","0","26/12/47 09:37:14 ص"
".venv_fooocus\Lib\site-packages\networkx\generators\atlas.dat.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\networkx\generators\atlas.dat.gz","atlas.dat.gz",".gz","8887","0.008","26/12/47 11:01:42 ص"
".venv_sdwebui\Lib\site-packages\networkx\generators\atlas.dat.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\networkx\generators\atlas.dat.gz","atlas.dat.gz",".gz","8887","0.008","26/12/47 12:56:56 م"
".venv_sdwebui\Lib\site-packages\clip\bpe_simple_vocab_16e6.txt.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\clip\bpe_simple_vocab_16e6.txt.gz","bpe_simple_vocab_16e6.txt.gz",".gz","1356917","1.294","26/12/47 01:07:16 م"
".venv_sdwebui\Lib\site-packages\dateutil\zoneinfo\dateutil-zoneinfo.tar.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\dateutil\zoneinfo\dateutil-zoneinfo.tar.gz","dateutil-zoneinfo.tar.gz",".gz","156400","0.149","26/12/47 02:05:54 م"
".venv_sdwebui\Lib\site-packages\matplotlib\mpl-data\sample_data\s1045.ima.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\matplotlib\mpl-data\sample_data\s1045.ima.gz","s1045.ima.gz",".gz","33229","0.032","26/12/47 02:11:14 م"
".venv_sdwebui\Lib\site-packages\open_clip\bpe_simple_vocab_16e6.txt.gz","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\open_clip\bpe_simple_vocab_16e6.txt.gz","bpe_simple_vocab_16e6.txt.gz",".gz","1356917","1.294","26/12/47 02:13:24 م"
