"relative_path","full_path","Name","Extension","Length","size_mb","LastWriteTime"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\checkpoints\juggernautXL_v8Rundiffusion.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\checkpoints\juggernautXL_v8Rundiffusion.safetensors","juggernautXL_v8Rundiffusion.safetensors",".safetensors","7105348592","6776.188","28/10/47 04:56:20 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\clip_vision\clip_vision_vit_h.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\clip_vision\clip_vision_vit_h.safetensors","clip_vision_vit_h.safetensors",".safetensors","1972298538","1880.93","29/10/47 01:17:10 ص"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","ip-adapter-plus_sdxl_vit-h.bin",".bin","1013454427","966.505","29/10/47 01:19:44 ص"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\loras\sd_xl_offset_example-lora_1.0.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\loras\sd_xl_offset_example-lora_1.0.safetensors","sd_xl_offset_example-lora_1.0.safetensors",".safetensors","49553604","47.258","26/12/47 12:46:58 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\prompt_expansion\fooocus_expansion\pytorch_model.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\prompt_expansion\fooocus_expansion\pytorch_model.bin","pytorch_model.bin",".bin","351283802","335.01","26/12/47 09:43:20 ص"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\vae_approx\vaeapp_sd15.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\vae_approx\vaeapp_sd15.pth","vaeapp_sd15.pth",".pth","213777","0.204","26/12/47 09:42:46 ص"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\vae_approx\xl-to-v1_interposer-v4.0.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\vae_approx\xl-to-v1_interposer-v4.0.safetensors","xl-to-v1_interposer-v4.0.safetensors",".safetensors","5667280","5.405","28/10/47 02:22:00 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\vae_approx\xlvaeapp.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\vae_approx\xlvaeapp.pth","xlvaeapp.pth",".pth","213777","0.204","26/12/47 09:42:46 ص"
"01_fooocus\Fooocus-release_minimal\Fooocus-release\models\vae_approx\taesdxl_decoder.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-release_minimal\Fooocus-release\models\vae_approx\taesdxl_decoder.pth","taesdxl_decoder.pth",".pth","4913525","4.686","24/01/45 10:50:02 ص"
"01_fooocus\entry_with_update_full\models\checkpoints\juggernautXL_v8Rundiffusion.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\checkpoints\juggernautXL_v8Rundiffusion.safetensors","juggernautXL_v8Rundiffusion.safetensors",".safetensors","7105348592","6776.188","28/10/47 04:56:20 م"
"01_fooocus\entry_with_update_full\models\clip_vision\clip_vision_vit_h.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\clip_vision\clip_vision_vit_h.safetensors","clip_vision_vit_h.safetensors",".safetensors","1972298538","1880.93","29/10/47 01:17:10 ص"
"01_fooocus\entry_with_update_full\models\controlnet\fooocus_ip_negative.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\controlnet\fooocus_ip_negative.safetensors","fooocus_ip_negative.safetensors",".safetensors","65616","0.063","23/03/45 11:57:06 ص"
"01_fooocus\entry_with_update_full\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","ip-adapter-plus_sdxl_vit-h.bin",".bin","1013454427","966.505","29/10/47 01:19:44 ص"
