"relative_path","full_path","Name","Extension","Length","size_mb","LastWriteTime"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\args_manager.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\args_manager.py","args_manager.py",".py","3117","0.003","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\build_launcher.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\build_launcher.py","build_launcher.py",".py","838","0.001","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\entry_with_update.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\entry_with_update.py","entry_with_update.py",".py","1337","0.001","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\entrypoint.sh","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\entrypoint.sh","entrypoint.sh",".sh","632","0.001","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\experiments_expansion.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\experiments_expansion.py","experiments_expansion.py",".py","160","0","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\experiments_face.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\experiments_face.py","experiments_face.py",".py","149","0","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\experiments_interrogate.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\experiments_interrogate.py","experiments_interrogate.py",".py","376","0","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\experiments_mask_generation.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\experiments_mask_generation.py","experiments_mask_generation.py",".py","637","0.001","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\fooocus_version.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\fooocus_version.py","fooocus_version.py",".py","17","0","10/03/47 01:28:40 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\launch.py","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\launch.py","launch.py",".py","6428","0.006","10/03/47 01:28:40 م"
