"relative_path","full_path","Name","Extension","Length","size_mb","LastWriteTime"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","ip-adapter-plus_sdxl_vit-h.bin",".bin","1013454427","966.505","29/10/47 01:19:44 ص"
"01_fooocus\entry_with_update_full\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","ip-adapter-plus_sdxl_vit-h.bin",".bin","1013454427","966.505","29/10/47 01:19:44 ص"
".venv_fooocus\Lib\site-packages\torch\lib\torch_cuda.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\torch_cuda.dll","torch_cuda.dll",".dll","920458752","877.818","26/12/47 10:49:06 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\torch_cuda.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\torch_cuda.dll","torch_cuda.dll",".dll","920458752","877.818","26/12/47 01:03:52 م"
".venv_sdwebui\Lib\site-packages\torch\lib\cudnn_cnn_infer64_8.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\cudnn_cnn_infer64_8.dll","cudnn_cnn_infer64_8.dll",".dll","605947448","577.877","26/12/47 01:02:12 م"
".venv_fooocus\Lib\site-packages\torch\lib\cudnn_cnn_infer64_8.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\cudnn_cnn_infer64_8.dll","cudnn_cnn_infer64_8.dll",".dll","605947448","577.877","26/12/47 10:48:30 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\dnnl.lib","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\dnnl.lib","dnnl.lib",".lib","558306484","532.443","26/12/47 01:03:06 م"
".venv_fooocus\Lib\site-packages\torch\lib\dnnl.lib","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\dnnl.lib","dnnl.lib",".lib","558306484","532.443","26/12/47 10:48:48 ص"
".venv_fooocus\Lib\site-packages\torch\lib\cublasLt64_12.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\cublasLt64_12.dll","cublasLt64_12.dll",".dll","538818048","513.857","26/12/47 10:48:20 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\cublasLt64_12.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\cublasLt64_12.dll","cublasLt64_12.dll",".dll","538818048","513.857","26/12/47 01:01:40 م"
