"relative_path","full_path","Name","Extension","Length","size_mb","LastWriteTime"
".venv_fooocus\Lib\site-packages\torch\lib\cublas64_12.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\cublas64_12.dll","cublas64_12.dll",".dll","98058240","93.516","26/12/47 10:48:12 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\cublas64_12.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\cublas64_12.dll","cublas64_12.dll",".dll","98058240","93.516","26/12/47 01:01:18 م"
".venv_fooocus\Lib\site-packages\torch\lib\cudnn_cnn_train64_8.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\cudnn_cnn_train64_8.dll","cudnn_cnn_train64_8.dll",".dll","97227320","92.723","26/12/47 10:48:32 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\cudnn_cnn_train64_8.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\cudnn_cnn_train64_8.dll","cudnn_cnn_train64_8.dll",".dll","97227320","92.723","26/12/47 01:02:14 م"
"02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\repositories\generative-models\.git\objects\pack\pack-f9b6668333b25c8a6ec41310e8e0e6a0de234008.pack","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\repositories\generative-models\.git\objects\pack\pack-f9b6668333b25c8a6ec41310e8e0e6a0de234008.pack","pack-f9b6668333b25c8a6ec41310e8e0e6a0de234008.pack",".pack","90905288","86.694","26/12/47 02:00:50 م"
".venv_fooocus\Lib\site-packages\torch\lib\cudnn_ops_infer64_8.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\cudnn_ops_infer64_8.dll","cudnn_ops_infer64_8.dll",".dll","89607224","85.456","26/12/47 10:48:32 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\cudnn_ops_infer64_8.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\cudnn_ops_infer64_8.dll","cudnn_ops_infer64_8.dll",".dll","89607224","85.456","26/12/47 01:02:18 م"
".venv_fooocus\Lib\site-packages\cv2\cv2.pyd","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\cv2\cv2.pyd","cv2.pyd",".pyd","89579008","85.429","26/12/47 09:36:18 ص"
".venv_fooocus\Lib\site-packages\torch\lib\cusolverMg64_11.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\cusolverMg64_11.dll","cusolverMg64_11.dll",".dll","77008384","73.441","26/12/47 10:48:40 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\cusolverMg64_11.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\cusolverMg64_11.dll","cusolverMg64_11.dll",".dll","77008384","73.441","26/12/47 01:02:40 م"
".venv_sdwebui\Lib\site-packages\cv2\cv2.pyd","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\cv2\cv2.pyd","cv2.pyd",".pyd","74938880","71.467","26/12/47 02:05:56 م"
".venv_fooocus\Lib\site-packages\torch\lib\cudnn_ops_train64_8.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\cudnn_ops_train64_8.dll","cudnn_ops_train64_8.dll",".dll","70172216","66.921","26/12/47 10:48:34 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\cudnn_ops_train64_8.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\cudnn_ops_train64_8.dll","cudnn_ops_train64_8.dll",".dll","70172216","66.921","26/12/47 01:02:20 م"
".venv_fooocus\Lib\site-packages\torch\lib\curand64_10.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torch\lib\curand64_10.dll","curand64_10.dll",".dll","63505408","60.563","26/12/47 10:48:36 ص"
".venv_sdwebui\Lib\site-packages\torch\lib\curand64_10.dll","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torch\lib\curand64_10.dll","curand64_10.dll",".dll","63505408","60.563","26/12/47 01:02:30 م"
"06_portable_tools\PortableGit-2.54.0-64-bit.7z.exe","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\06_portable_tools\PortableGit-2.54.0-64-bit.7z.exe","PortableGit-2.54.0-64-bit.7z.exe",".exe","58995352","56.262","26/12/47 01:10:18 م"
"01_fooocus\entry_with_update_full\models\loras\sd_xl_offset_example-lora_1.0.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\loras\sd_xl_offset_example-lora_1.0.safetensors","sd_xl_offset_example-lora_1.0.safetensors",".safetensors","49553604","47.258","24/01/45 07:53:38 م"
"01_fooocus\Fooocus-main_canonical\Fooocus-main\models\loras\sd_xl_offset_example-lora_1.0.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\loras\sd_xl_offset_example-lora_1.0.safetensors","sd_xl_offset_example-lora_1.0.safetensors",".safetensors","49553604","47.258","26/12/47 12:46:58 م"
