"folder","full_path","files","dirs","size_gb"
".venv_fooocus","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus","39380","3817","5.089"
".venv_sdwebui","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui","43172","4190","5.127"
"00_archives_original","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original","6","0","0.036"
"01_fooocus","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus","1774","270","19.67"
"02_stable_diffusion_webui","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\02_stable_diffusion_webui","1793","419","7.362"
"03_shared_models_and_outputs","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\03_shared_models_and_outputs","2","8","0"
"04_run_scripts","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\04_run_scripts","12","0","0"
"05_docs_reports","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\05_docs_reports","92","0","0.028"
"06_portable_tools","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\06_portable_tools","9506","855","0.432"
"07_alzaeem_windows_ready","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\07_alzaeem_windows_ready","650","80","0.015"
"08_avatarforge","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\08_avatarforge","49","28","0"
